Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
25-06-2022,2,17000,900,1 out of 2,Carpet Area,Babusahib Palya,Bangalore,Semi-Furnished,Family,2,Contact Owner
23-06-2022,1,7500,500,Ground out of 3,Super Area,"Kumaraswamy Layout, Kumaraswamy Layout",Bangalore,Furnished,Bachelors/Family,1,Contact Owner
27-05-2022,2,15000,1100,1 out of 2,Super Area,Nri Layout,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
27-06-2022,1,7500,500,1 out of 2,Super Area,"Balaji Layout -Hongasandra, Hongasandra",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
28-04-2022,3,25000,1260,Ground out of 2,Super Area,Vijaya Bank Layout,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
30-06-2022,3,54000,1750,2 out of 4,Carpet Area,"Jaya Nagar Block 1, Jayanagar",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
24-05-2022,1,14500,600,1 out of 3,Carpet Area,Maruthi Sevanagar,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
20-06-2022,1,4500,450,Ground out of 3,Super Area,Nelamangala,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
27-06-2022,2,10500,800,3 out of 4,Super Area,Yelahanka New Town,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
27-05-2022,1,5500,400,Ground out of 2,Super Area,Hongasandra,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
13-06-2022,2,16000,600,1 out of 2,Carpet Area,Girinagar,Bangalore,Unfurnished,Bachelors,2,Contact Owner
04-06-2022,1,7000,400,Ground out of 2,Super Area,T Dasarahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
20-06-2022,2,12500,900,Ground out of 3,Super Area,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
08-06-2022,2,10000,1200,Ground out of 4,Super Area,Jogupalya,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-05-2022,2,18000,1045,1 out of 2,Carpet Area,Maruthi Sevanagar,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
02-05-2022,3,28000,1021,10 out of 10,Carpet Area,"Balaji Gardens Layout, Gottigere",Bangalore,Furnished,Bachelors,3,Contact Owner
17-06-2022,3,12000,1200,Ground out of 4,Super Area,in Bannerghatta Road,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
23-05-2022,2,13000,1000,1 out of 3,Carpet Area,"Electronic City Phase 2, Electronic City",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
18-05-2022,2,50000,1280,2 out of 12,Carpet Area,Hebbal,Bangalore,Furnished,Bachelors/Family,2,Contact Agent
21-06-2022,1,7000,450,1 out of 2,Carpet Area,Jalahalli East,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
14-06-2022,2,30000,450,2 out of 3,Super Area,"Garebhavipalya, Hongasandra, Hosur Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
08-06-2022,1,10000,600,3 out of 4,Super Area,Btm Layout Stage 4,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-05-2022,2,15000,800,2 out of 3,Super Area,Konanakunte,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,1,7500,500,2 out of 4,Super Area,Basaveshwar Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
06-07-2022,3,45000,1680,7 out of 19,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
06-07-2022,3,65000,2000,23 out of 40,Carpet Area,Hebbal,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
06-07-2022,1,12000,500,1 out of 4,Carpet Area,Koramangala Block 4,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
06-07-2022,1,7000,500,2 out of 2,Carpet Area,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
20-06-2022,1,9000,800,2 out of 3,Super Area,Mahadevapura,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
20-06-2022,2,23000,1100,2 out of 3,Super Area,Banaswadi,Bangalore,Semi-Furnished,Family,2,Contact Owner
20-06-2022,2,30000,1200,3 out of 4,Super Area,"Kalasipalyam, Kalasipalyam",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
27-05-2022,1,8000,500,2 out of 3,Carpet Area,"Tilak Nagar, Jayanagar, bannerghatta main Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
12-06-2022,2,16000,1155,3 out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Family,2,Contact Owner
21-06-2022,1,7500,440,3 out of 4,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
18-05-2022,2,20000,1040,1 out of 7,Carpet Area,Sarjapur Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
27-05-2022,4,110000,2900,7 out of 18,Carpet Area,whitefield,Bangalore,Furnished,Bachelors,4,Contact Agent
07-07-2022,3,30000,1200,1 out of 2,Super Area,Nagondanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
30-06-2022,3,20000,1600,2 out of 3,Super Area,"Isro Layout, Kumaraswamy Layout",Bangalore,Semi-Furnished,Family,3,Contact Agent
11-05-2022,4,84000,3150,8 out of 19,Carpet Area,Banashankari,Bangalore,Unfurnished,Bachelors,4,Contact Owner
08-06-2022,2,17000,1000,2 out of 4,Super Area,JAR Shikara,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-07-2022,2,15000,1200,1 out of 2,Super Area,Medahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
26-05-2022,1,6000,400,4 out of 5,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
16-06-2022,2,16000,950,1 out of 1,Carpet Area,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
07-06-2022,2,9500,530,1 out of 3,Carpet Area,Byatarayanapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
16-06-2022,1,8000,300,Ground out of 2,Carpet Area,"Udayanagar Extension, Mahadevapura",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
22-06-2022,2,15000,1000,Ground out of 3,Super Area,"Dwarka Nagar, Kattigenahalli",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-05-2022,1,12000,450,3 out of 3,Super Area,Btm Layout,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
06-06-2022,1,10000,600,Ground out of 1,Carpet Area,"Jeevan Bima Nagar, Airport Road",Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
23-06-2022,2,16000,1100,2 out of 4,Super Area,"Jaya Nagar Block 7, Jayanagar",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
30-06-2022,1,11000,400,1 out of 4,Super Area,Chamrajpet,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
30-06-2022,2,11000,700,1 out of 2,Super Area,"Hosa Road, off Hosur Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
04-07-2022,2,20000,1105,1 out of 4,Super Area,"Electronics City Phase 1, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-07-2022,3,24000,1430,3 out of 4,Super Area,Subramanyapura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
20-06-2022,2,14500,850,2 out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-05-2022,1,4000,650,1 out of 2,Super Area,Byatarayanapura,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
23-05-2022,2,12000,1200,Ground out of 2,Super Area,Kempapura Agrahara,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
04-07-2022,2,8500,600,1 out of 3,Super Area,Vijayanagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
26-06-2022,1,9000,400,2 out of 4,Carpet Area,Munnekollal,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
27-05-2022,4,180000,2800,Ground out of 4,Carpet Area,"Sarakki Nagar, J P Nagar",Bangalore,Furnished,Family,4,Contact Agent
06-05-2022,2,10500,1100,Ground out of 1,Super Area,"Ananda Puram, Jeevan Bima Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
29-05-2022,2,12000,900,1 out of 5,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Unfurnished,Bachelors,2,Contact Owner
12-06-2022,3,32000,1300,2 out of 4,Super Area,"Hrbr Layout, Kalyan Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
25-05-2022,2,15000,1000,Ground out of 1,Super Area,Horamavu kelkkeri road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
24-06-2022,3,21000,1000,1 out of 2,Carpet Area,"Vishweshwaraiah Layout, Annapurneshwari Nagar",Bangalore,Furnished,Bachelors/Family,3,Contact Owner
06-06-2022,2,12000,900,Ground out of 1,Carpet Area,Babusapalya,Bangalore,Unfurnished,Bachelors/Family,2,Contact Agent
06-06-2022,1,7000,800,1 out of 1,Carpet Area,Babusapalya,Bangalore,Unfurnished,Bachelors/Family,1,Contact Agent
12-05-2022,2,15000,750,1 out of 3,Super Area,Hutchins Road,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
10-05-2022,2,11400,1100,2 out of 5,Carpet Area,Nisarga capital appartment,Bangalore,Unfurnished,Bachelors,2,Contact Owner
28-04-2022,2,15000,1200,1 out of 3,Super Area,"Jp Nagar Phase 1, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
20-06-2022,2,19000,1000,Ground out of 2,Carpet Area,"Rbi Layout, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
04-07-2022,2,27000,1000,4 out of 4,Carpet Area,"Hbr Layout Block 4, HBR Layout",Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
18-05-2022,3,48000,2000,2 out of 4,Carpet Area,Frazer Town,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
04-06-2022,1,7000,550,1 out of 3,Super Area,Chikkalasandra,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
12-06-2022,2,15000,1130,Ground out of 4,Super Area,whitefield,Bangalore,Unfurnished,Family,2,Contact Owner
27-06-2022,2,10000,600,Ground out of 1,Super Area,Abbigere,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
16-05-2022,1,7000,100,1 out of 2,Carpet Area,Chikkabanavara,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
20-06-2022,2,9000,500,2 out of 5,Super Area,"Meenakshi Layout, Kengeri",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
10-05-2022,1,8000,600,Ground out of 3,Super Area,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
31-05-2022,2,35000,1200,1 out of 5,Carpet Area,Mahatma Gandhi Road,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
31-05-2022,2,16000,850,1 out of 2,Super Area,Bilekahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
27-05-2022,1,4500,600,1 out of 4,Super Area,Madanayakahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
23-05-2022,2,16000,600,1 out of 3,Super Area,Sivanchetti Gardens,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
23-06-2022,2,10000,700,1 out of 4,Super Area,Nagavara,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
20-06-2022,1,8000,400,1 out of 1,Carpet Area,Hebbal,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
23-05-2022,1,6000,400,3 out of 4,Super Area,Thammenahalli Apartmentge,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
30-06-2022,2,13000,1000,1 out of 2,Carpet Area,Horamavu,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
20-06-2022,2,10000,1200,Ground out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
14-05-2022,3,55000,1603,6 out of 17,Carpet Area,Magadi Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
14-05-2022,3,15000,1200,Ground out of 2,Super Area,Bagalakunte,Bangalore,Semi-Furnished,Family,3,Contact Owner
07-07-2022,1,12000,420,2 out of 5,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
07-07-2022,2,9000,1200,3 out of 4,Super Area,Gottigere,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
07-07-2022,3,36000,1771,10 out of 18,Super Area,Gottigere,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
16-06-2022,3,37000,1200,2 out of 3,Super Area,No 309 6th A cross Banashankari 1st stage 2nd block Bangalore 560050,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
23-06-2022,2,6000,700,1 out of 2,Super Area,Ragavendra Industrial Estate,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
31-05-2022,1,17000,610,10 out of 10,Super Area,"Jalahalli, Jalahalli, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
31-05-2022,1,8000,800,3 out of 4,Super Area,"Dooravani Nagar, Dooravani Nagar",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
21-06-2022,1,7500,550,2 out of 3,Super Area,Hommadevanahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
27-05-2022,2,9500,750,1 out of 4,Super Area,"Ms Palya, Vidyaranyapura",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
04-06-2022,2,13500,700,1 out of 3,Carpet Area,Mathikere,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
22-05-2022,1,9000,600,2 out of 2,Carpet Area,Ramamurthy Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
20-06-2022,1,7000,360,Ground out of 2,Super Area,J P Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
08-06-2022,2,12000,800,2 out of 4,Super Area,"Btm Layout Stage 2, BTM Layout",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
18-05-2022,4,100000,3700,18 out of 22,Carpet Area,"Sanjeevini Nagar, Hegganahalli",Bangalore,Semi-Furnished,Bachelors/Family,5,Contact Agent
08-07-2022,2,12000,1200,1 out of 3,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
20-06-2022,1,8500,480,2 out of 3,Super Area,"Prakruthi Township, Hennur",Bangalore,Furnished,Bachelors/Family,1,Contact Owner
01-07-2022,2,18000,1000,Ground out of 3,Super Area,"M C Layout, Vijayanagar, Magadi Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
27-06-2022,1,11000,800,Ground out of 3,Super Area,"Dr.Shivaram Karanth Nagar, Jakkuru",Bangalore,Semi-Furnished,Family,1,Contact Owner
27-05-2022,3,18000,900,2 out of 3,Super Area,Rajajinagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
20-06-2022,3,17000,1450,Ground out of 2,Super Area,Rayasandra,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
20-06-2022,1,6500,400,Ground out of 3,Super Area,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
18-05-2022,2,11500,700,1 out of 2,Super Area,Near coffee board layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
10-05-2022,2,22000,1000,2 out of 6,Carpet Area,Banaswadi,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
16-05-2022,1,13000,450,3 out of 3,Carpet Area,"Lakkasandra, Wilson Garden, bannerghatta main road",Bangalore,Furnished,Bachelors/Family,1,Contact Owner
16-06-2022,3,20000,773,2 out of 12,Carpet Area,Mysore Road,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
27-05-2022,2,10000,1200,1 out of 2,Super Area,Kengeri,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
27-05-2022,2,15000,1000,2 out of 3,Super Area,Begur Koppa Rd,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
10-06-2022,1,8000,150,2 out of 3,Super Area,B.Narayanapura,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
04-06-2022,2,12000,865,1 out of 5,Super Area,Ananth Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,1,20000,600,1 out of 4,Super Area,Rayasandra,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
23-05-2022,2,20000,800,2 out of 3,Super Area,Basavanagudi,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
31-05-2022,1,8000,200,Ground out of 4,Super Area,Old Airport Road,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
02-06-2022,1,11000,600,1 out of 4,Carpet Area,Hebbal,Bangalore,Unfurnished,Bachelors,2,Contact Owner
14-06-2022,3,40000,1840,5 out of 14,Carpet Area,Horamavu,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
04-06-2022,2,10000,800,2 out of 4,Super Area,Hegganahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
20-06-2022,3,30000,1600,2 out of 4,Carpet Area,"Hrbr Layout Block 2, Kalyan Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Family,2,Contact Agent
30-06-2022,2,8000,600,1 out of 2,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
28-06-2022,2,15000,1100,3 out of 3,Carpet Area,"Vishwapriya Nagar, Begur",Bangalore,Unfurnished,Bachelors,2,Contact Owner
27-05-2022,2,12000,950,1 out of 2,Super Area,Nri Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
07-06-2022,2,12000,905,3 out of 6,Super Area,Kanakapura Road,Bangalore,Semi-Furnished,Family,2,Contact Owner
28-04-2022,3,20000,1200,Ground out of 1,Carpet Area,"Ms Palya, Vidyaranyapura",Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
11-06-2022,3,13000,1000,1 out of 2,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
05-06-2022,2,17500,1080,1 out of 4,Super Area,Electronic City,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
10-05-2022,1,8000,600,Ground out of 4,Super Area,Kamala Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
31-05-2022,2,8500,1000,Ground out of 3,Super Area,Kachohalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-05-2022,1,7500,600,1 out of 2,Super Area,Bommanahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
31-05-2022,2,22000,1100,2 out of 5,Super Area,Rmv Extension Stage 2,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
04-06-2022,1,6000,300,Ground out of 2,Super Area,Nagarbhavi,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
04-07-2022,2,32900,1200,3 out of 6,Carpet Area,Marathahalli,Bangalore,Furnished,Bachelors/Family,1,Contact Agent
23-05-2022,2,15000,800,1 out of 4,Super Area,J P Nagar,Bangalore,Furnished,Bachelors/Family,1,Contact Owner
23-05-2022,2,10000,535,3 out of 4,Super Area,"Moodalaplya, Vijayanagar",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
15-06-2022,2,10000,800,1 out of 3,Super Area,"Bedarahalli, Magadi Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
05-05-2022,3,21000,1159,4 out of 5,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
02-06-2022,4,63000,2650,16 out of 34,Carpet Area,Kanakapura Road,Bangalore,Unfurnished,Bachelors,5,Contact Agent
25-05-2022,1,6900,50,Ground out of 4,Carpet Area,Kodigehalli,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
14-05-2022,2,14000,700,2 out of 3,Super Area,Vijayanagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
31-05-2022,1,14500,550,4 out of 5,Super Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent
04-06-2022,1,6500,700,2 out of 4,Super Area,Rukmini Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
23-06-2022,2,13000,600,1 out of 5,Super Area,Vibhutipura,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
27-05-2022,2,8000,600,1 out of 4,Super Area,"Mallasandra, Jalahalli West",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
14-06-2022,2,18000,1000,2 out of 4,Super Area,Hebbal Kempapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
19-05-2022,2,20000,1100,2 out of 2,Super Area,Rajajinagar,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
28-04-2022,1,14000,750,3 out of 4,Carpet Area,"Jp Nagar Phase 5, J P Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
23-05-2022,4,50000,2900,5 out of 7,Super Area,Kannur,Bangalore,Furnished,Bachelors/Family,4,Contact Owner
25-06-2022,2,14500,990,1 out of 4,Super Area,Bhattarahalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
01-05-2022,2,15000,1300,Ground out of 2,Super Area,Raghuvanahalli-Bcmc Layout,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
20-06-2022,1,11500,550,2 out of 3,Carpet Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
07-06-2022,3,15000,1360,5 out of 9,Super Area,Chandapura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
01-06-2022,2,12000,600,2 out of 4,Carpet Area,"Marutinagar,",Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
04-05-2022,2,18000,1200,Ground out of 12,Carpet Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
14-05-2022,2,15000,1050,1 out of 5,Super Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
23-06-2022,2,12000,840,2 out of 4,Super Area,Medahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
16-06-2022,2,25000,1050,1 out of 5,Super Area,Hoysala Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
18-05-2022,3,150000,3250,2 out of 6,Carpet Area,Vasanth Nagar,Bangalore,Furnished,Bachelors/Family,4,Contact Agent
23-05-2022,1,10000,500,2 out of 3,Super Area,Nagarabhavi,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
23-05-2022,2,8000,900,1 out of 3,Super Area,Gottigere,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
22-05-2022,2,40000,1300,2 out of 4,Carpet Area,Indira Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
30-05-2022,2,12000,600,2 out of 3,Super Area,"Shamanna Garden, Wilson Garden",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
20-05-2022,2,16000,900,3 out of 5,Carpet Area,Kodi Halli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
20-05-2022,2,23000,1100,2 out of 5,Carpet Area,Kodi Halli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
20-05-2022,2,25000,1100,2 out of 10,Carpet Area,"Jagadish Nagar, Kaggadasapura",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
08-06-2022,1,7000,600,2 out of 3,Super Area,Kadugodi,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
31-05-2022,2,17500,1250,1 out of 2,Carpet Area,Yeshwantpur,Bangalore,Unfurnished,Bachelors,2,Contact Owner
16-06-2022,1,10000,415,3 out of 3,Carpet Area,"Jeevan Bima Nagar, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
04-06-2022,3,39000,1200,1 out of 4,Super Area,Vidyaranyapura,Bangalore,Furnished,Bachelors/Family,3,Contact Owner
18-05-2022,3,22000,1200,4 out of 4,Carpet Area,Bommasandra,Bangalore,Unfurnished,Bachelors,2,Contact Owner
